Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
come from far and wide,to come from many different places.,,,,,Everyone was there. They came from far and wide. ,We have foods that come from far and wide. ,,
come full circle,to return to the original position or state of affairs.,,,,,"The family sold the house generations ago, but the wheel has come full circle and one of their descendants lives there now. ","The employers’ power was reduced by the unions at one point, but the wheel has come full circle again. ",,
come home to roost,to return to cause trouble (for someone).,,,,,"As I feared, all my problems came home to roost. ",His lies finally came home to roost. His wife discovered his adultery. ,,
come in for something,to receive something, to acquire something.,,,,Mary came in for a tremendous amount of money when her aunt died. ,Her new play has come in for a lot of criticism. ,,
come into something,to inherit something.,,,,,Jane came into a small fortune when her aunt died. ,Mary does not come into her inheritance until she comes of age. ,,
come of age,"to reach an age when one is old enough to own property, get married, and sign legal contracts.",,,,,"When Jane comes of age, she will buy her own car. ","Sally, who came of age last month, entered into an agreement to purchase a house. ",,
come off second best,to be in second place or worse, to be the loser.,,,,"You can fight with your brother if you like, but you’ll come off second best. ",Why do I always come off second best in an argument with you?,,
come out in the wash,to work out all right. (This means that problems or difficulties will go away as dirt goes away in the process of washing.),,,,,Don’t worry about their accusation. It’ll all come out in the wash. ,This trouble will go away. It’ll come out in the wash. ,,
come out of nowhere,to appear suddenly.,,,,,"Suddenly, a container lorry came out of nowhere. ","The storm came out of nowhere, and we were unprepared. ",,
come out of one’s shell,to become more friendly, to be more sociable.,,,,"Ann, you should come out of your shell and spend more time with your friends. ","Come out of your shell, Tom. Go out and make some friends. ",,
(come) rain or shine,no matter whether it rains or the sun shines.,,,,,Don’t worry. I’ll be there come rain or shine. ,"We’ll hold the picnic, rain or shine.",,
come round, finally to agree or consent (to something), to return to consciousness, to wake up, to come for a visit, to stop by.,"I thought he’d never agree, but in the end, he came around. ",She came around only after we argued for an hour. ,He came around after we threw cold water in his face.,The boxer was knocked out but came around in a few seconds.
come to a bad end,"to have a disaster, perhaps one which is deserved or expected", to die an unfortunate death.,,,,I just know that the young man will come to a bad end. ,The miserly shopkeeper came to a bad end and was declared bankrupt. ,,
come to a head,to come to a crucial point, to come to a point when a problem must be solved.,,,,"Remember my problem with my neighbors? Well, last night the whole thing came to a head. ",The battle between the two factions of the town council came to a head yesterday. ,,
come to an untimely end,to come to an early death.,,,,,Poor Mr. Jones came to an untimely end in a car accident. ,"The older brother came to an untimely end, but the twin boys lived to a ripe old age. ",,
come to a pretty pass,"to develop into a bad, unfortunate, or difficult situation.",,,,,Things have come to a pretty pass when people have to beg in the streets. ,"When parents are afraid of their children, things have come to a pretty pass. ",,
come to grief,to fail or be unsuccessful, to have trouble or grief.,,,,The artist wept when her canvas came to grief. ,The wedding party came to grief when the bride passed out. ,,
come to light,to become known, to be discovered.,,,,Some interesting facts about your past have just come to light. ,"If too many bad things come to light, you may lose your job. ",,
come to the fore,to become obvious or prominent, to become important.,,,,The question of salary has now come to the fore. ,"Since his great showing in court, my solicitor has really come to the fore in his profession. ",,
conspicuous by one’s absence,having one’s absence noticed (at an event).,,,,,We missed you last night. You were conspicuous by your absence. ,How could the bride’s father miss the wedding party? He was certainly conspicuous by his absence. ,,
contradiction in terms,a seeming contradiction in the wording of something.,,,,,A wealthy pauper is a contradiction in terms. ,A straight talking politician may seem a contradiction in terms.,,
cook someone’s goose,to damage or ruin someone.,,,,,I cooked my own goose by not showing up on time. ,Sally cooked Bob’s goose for treating her the way he did. ,,
cook the books,to cheat in bookkeeping, to make the accounts appear to balance when they do not.,,,,Jane was sent to jail for cooking the books of her mother’s shop. ,It’s hard to tell whether she really cooked the books or just didn’t know how to add. ,,
cool one’s heels,to wait impatiently (for someone).,,,,,I spent all afternoon cooling my heels in the waiting room while the doctor talked on the telephone. ,"All right. If you can’t behave properly, just sit down here and cool your heels until I call you. ",,
cost a pretty penny,to cost a lot of money.,,,,,I’ll bet that diamond cost a pretty penny. ,You can be sure that house cost a pretty penny. ,,
cost the earth,to cost an enormous sum of money. (Compare with pay the earth.),,,,,That huge car must have cost the earth! ,Do I look as though I can afford a house that costs the earth? ,,
count heads,to count people.,,,,,I’ll tell you how many people are here after I count heads. ,Everyone is here. Let’s count heads so we can order the drinks. ,,
crack a bottle,to open a bottle.,,,,,Let’s crack a bottle of champagne to celebrate. ,We always crack a bottle of port at Christmas. ,,
cramp someone’s style,to limit someone in some way.,,,,,Having her young sister with her rather cramped her style on the dance floor.,To ask him to keep regular hours would really be cramping his style. ,,
cross a bridge before one comes to it,to worry excessively about something before it happens.,,,,,There is no sense in crossing that bridge before you come to it. ,She’s always crossing bridges before coming to them. She needs to learn to relax. ,,
cross one’s heart (and hope to die),to pledge or vow that the truth is being told.,,,,,"It’s true, cross my heart and hope to die. ","It’s really true, cross my heart.",,
cross swords (with someone),to enter into an argument with someone.,,,,,I don’t want to cross swords with Tom. ,"The last time we crossed swords, we had a terrible time.",,
